Meta-archipelago,Archipelago_group,Site,Area,DistanceM,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,164389,fulvicrissa,22/03/1997,Panama,Prov. Colon; Achiote Road at Rio Providence,25m,mistletoe in stomach,Female,11.7,51.22,38.36,12.86,25.10737993,14.41,26,4.77,4.53,8,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17548,rileyi,18/03/1951,Mexico,12 Mi. SE of Santiago,NA,NA,Male,NA,65.86,53.9,11.96,18.15973277,13.37,39.19,4.47,4.38,7.01,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,164388,fulvicrissa,21/03/1997,Panama,Prov. Colon; Achiote Road at Rio Providence,25m,fruit in crop saved,Male,10.5,51.21,40.92,10.29,20.09373169,13,27.81,4.36,4.23,8.77,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16047,rileyi,23/04/1950,Mexico,San Luis Potosí; Santa Barbarita,3400ft,NA,Male,17.3,66.95,51.64,15.31,22.8678118,13.13,37.42,4.46,4.01,6.64,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17554,rileyi,23/03/1951,Mexico,San Luis Potosí; Cañada Grande,NA,NA,Male,18,67.29,53.02,14.27,21.20671719,13.54,39.42,4.43,4.3,7.21,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,164387,fulvicrissa,21/03/1997,Panama,Prov. Colon; Achiote Road at Rio Providence,25m,fruit in crop saved,Male,10.5,55.4,40.87,14.53,26.22743682,15.17,28.56,4.75,4.4,8.88,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16048,rileyi,24/04/1950,Mexico,San Luis Potosí; Santa Barbarita,3400ft,NA,Male,16.5,65.57,52.16,13.41,20.45142596,14.1,36.84,4.86,4.2,8.04,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16051,rileyi,25/04/1950,Mexico,San Luis Potosí; Santa Barbarita,4500ft,NA,Male,14,65.15,51.28,13.87,21.28933231,13.38,37.2,5.17,4.18,7.2,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,164386,fulvicrissa,21/03/1997,Panama,Prov. Colon; Achiote Road at Rio Providence,25m,"intestines contained mistletoe, berries saved",male,11,51.15,39.46,11.69,22.85434995,15.72,32.82,4.23,4.81,7.78,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16060,rileyi,19/05/1950,Mexico,San Luis Potosí; Cañada Grande,6700ft,NA,Male,13.4,64.55,49.43,15.12,23.42370256,13.56,35.75,5.22,NA,6.46,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16057,rileyi,6/5/1950,Mexico,San Luis Potosí; Cañada Grande,6200ft,NA,Male,15,62.93,48.72,14.21,22.58064516,13.53,34.24,5.09,4.03,7.44,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,165005,fulvicrissa,25/03/1999,Panama,Prov. Panama; 4.5km NW Summit Gardens on Old Gamboa Road,NA,Gut with fruit pulp - Saved,Female,11,51.31,39.8,11.51,22.43227441,14.05,31.46,4.53,4.6,8.02,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16052,rileyi,26/04/1950,Mexico,San Luis Potosí; Santa Barbarita,3300ft,NA,Male,14.5,66.46,49.43,17.03,25.62443575,13.56,38.68,4.81,3.91,7.35,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16059,rileyi,9/5/1950,Mexico,San Luis Potosí; Cañada Grande,6300ft,NA,Male,15.8,68.55,52.08,16.47,24.02625821,13.85,42.24,4.23,4.05,7.54,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,140104,aureata,15/06/1941,Paraguay,La Cordillera,NA,NA,Male,NA,64.47,51.38,13.09,20.30401737,15.7,34.83,4.52,4.41,6.34,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18245,rileyi,25/11/1951,Mexico,San Luis Potosí; Cerro Miramar,NA,NA,Male,NA,65.86,47.47,18.39,27.92286669,13.93,38.74,4.69,4.47,7.37,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12650,rileyi,28/04/1947,Mexico,San Luis Potosí; Xilitla Region,2600ft,NA,Male,NA,65.11,48.74,16.37,25.14206727,13.13,41.1,4.77,4.09,7.45,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,228022,cyanocephala,8/1/2018,Bolvia,"Depto. Chuguisaca; Prov. Voca Guzman, Serrania Inca Huasi, 2.6km S Ruinas Incahuasi, 19.829ºS, 63.727ºW",155M,Stomach contained green fruit,Male,15.4,64.85,52.47,12.38,19.09020817,14.46,43.9,4.32,4.23,6.45,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18724,rileyi,25/01/1952,Mexico,San Luis Potosí; San Antonio,NA,NA,Male,NA,65.06,48.5,16.56,25.45342761,13.61,34.22,4.77,4.07,7.27,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18370,rileyi,4/12/1951,Mexico,San Luis Potosí; Cerro San Antonio,NA,NA,Male,NA,64.65,49.11,15.54,24.03712297,12.81,41.18,4.57,4.13,7.03,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18369,rileyi,17/12/1951,Mexico,San Luis Potosí; Xilitla Region,NA,NA,Male,NA,63.31,52.03,11.28,17.81709051,13.18,39.18,4.99,4.2,7.06,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,22802,cyanocephala,8/1/2018,Bolvia,"Depto. Chuguisaca; Prov. Voca Guzman, Serrania Inca Huasi, 2.6km S Ruinas Incahuasi, 19.829ºS, 63.727ºW",1550m,NA,Female,12.7,62.19,46.86,15.33,24.65026532,15.46,35.36,5.66,4.3,6.93,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17555,rileyi,16/03/1951,Mexico,San Luis Potosí; 12 Mi. SE of Santiago,NA,NA,Male,14,65.52,51.97,13.55,20.68070818,13.12,37.41,5,4.21,6.21,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12651,rileyi,25/04/1947,Mexico,San Luis Potosí; Xilitla Region,NA,NA,Male,NA,68.23,49.52,18.71,27.42195515,12.75,40.43,4.34,4.01,7.35,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,137823,aureata,2/8/1988,Bolvia,"Santa Cruz; Prov. Velasco, W bank Rio Paucorra, 4km up from Rio ilenez",450m,Light fat,Male,13,63.48,45.31,18.17,28.62318841,14.07,37.83,4.02,NA,6.39,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12647,rileyi,29/08/1947,Mexico,San Luis Potosí; San Jose de Albuquerque,NA,NA,Male,NA,64.58,42.91,21.67,33.55528027,13.26,36.5,4.73,3.75,7.61,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16053,rileyi,22/04/1950,Mexico,San Luis Potosí; Santa Barbarita,3400ft,no fat,Female,15.5,62.65,47.58,15.07,24.05426975,12.98,30.04,5.08,4.44,7.44,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,171469,aureata,16/07/2000,Bolvia,"Depto. Santa Cruz, prov. Cordillera 10.6km E Ahapo 18º54' 84''5, 63º'08''W",450m,intestines green fruits,Female,14,62.23,50.67,11.56,18.5762494,13.09,35.32,4.72,4.22,5.78,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16056,rileyi,25/04/2950,Mexico,San Luis Potosí; Santa Barbarita,3800ft,no fat,Female,17,63.99,51.92,12.07,18.86232224,13.34,34.55,4.43,4.19,7.36,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12648,rileyi,5/3/1948,Mexico,San Luis Potosí; Cerro Campanario,8000ft,NA,Female,NA,65.05,44.14,20.91,32.14450423,13.13,35.05,4.98,4.05,7.59,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,169157,aureata,15/08/2000,Bolvia,"Depto. Santa Cruz, Churchial 37km SE Somaipata 18º22.9 S, 63º37.2 W",900m,"intestines seeds saved, tissue samples",Male,15.5,65.19,46.91,18.28,28.0411106,13.14,39.29,4.29,4.17,6.69,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16055,rileyi,25/04/1950,Mexico,San Luis Potosí; Santa Barbarita,NA,no fat,Female,14.9,65.26,48.36,16.9,25.89641434,13.51,33.99,4.77,4.62,7.15,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17556,rileyi,22/03/1951,Mexico,San Luis Potosí; Cañada Grande,NA,fat,Female,16.5,65.21,47.54,17.67,27.097071,13.39,37.74,4.53,NA,6.21,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,38174,aureata,15/09/1942,Bolvia,Santa Cruz Buena Vista,400m,NA,Male,NA,64.34,47.73,16.61,25.81597762,15.33,37.93,4.42,4.26,6.28,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12649,rileyi,27/04/1947,Mexico,San Luis Potosí; Xilitla Region,2500ft,NA,Female,NA,68.07,49.17,18.9,27.76553548,13.89,37.45,4.66,4.3,7.53,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16054,rileyi,24/04/1950,Mexico,San Luis Potosí Santa Barbarita,3400ft,no fat,Female,14g,64.29,51.09,13.2,20.53196454,13.72,35.61,4.86,4.14,7.27,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,196590,cyanocephala,22/11/2013,Bolvia,"depto. LaPaz, prov. Inquisiui piedras blancas 6km W cotacajes 16.762ºS, 66.789ºW",2200M,NA,Female,15.1,59.31,47.45,11.86,19.99662789,12.01,33.17,3.97,3.87,6.1,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18725,rileyi,25/01/1950,Mexico,San Luis Potosí; W of Cerro San Antonio,NA,NA,Female,NA,63.39,49,14.39,22.70074144,13.68,36.16,4.85,4.3,7.79,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16062,rileyi,9/5/1950,Mexico,San Luis Potosí; Cañada Grande,6300ft,no fat,Female,15,65.07,49.45,15.62,24.00491778,13.36,39.31,4.55,4.01,6.65,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,62483,,12/8/1967,Peru,"Depto. Huanuco, Tea gardens S.A in Cordillera Azul",1300M,na,Female,NA,61.29,46.86,14.43,23.54380813,14.3,37.4,3.94,4.01,6.42,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16063,rileyi,19/05/1950,Mexico,San Luis Potosí; Cañada Grande,6600ft,no fat,Female,13.5,61.9,44.94,16.96,27.39903069,12.36,37.11,4.54,3.95,7.08,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16061,rileyi,19/05/1950,Mexico,San Luis Potosí; Cañada Grande,6700ft,no fat,Female,14.2,65.21,50.97,14.24,21.83714154,12.86,38.79,4.75,4.47,6.63,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,62484,aureata,12/8/1967,Peru,"Depto. Huanuco, Tea gardens S.A in Cordillera Azul",1300M,NA,Female,NA,56.04,46.08,9.96,17.77301927,13.85,38.22,4.52,3.98,7.96,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17551,rileyi,16/03/1951,Mexico,San Luis Potosí,NA,NA,Female,NA,64.39,47.12,17.27,26.82093493,13.9,37.57,4.12,4.01,6.86,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,117523,aureata,15/11/1983,peru,Dpto. San Martin; 15km by trail NE Jirillo on Trail to Balsa puerto,1350M,"stomach yellowish green fruit pulp, heavy fat",Male,14,63.92,47.52,16.4,25.65707134,13.91,32.65,4.25,4.13,6.78,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17549,rileyi,18/03/1951,Mexico,12 Mi SE of Santiago,NA,NA,Female,NA,66.14,51.12,15.02,22.70940429,13.25,37.48,4.84,4.18,6.7,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17550,rileyi,18/03/1951,Mexico,12 Mi SE of Santiago,NA,NA,Female,NA,63.79,51.49,12.3,19.28201913,13.47,38.81,4.01,4.47,7.16,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,190429,pelzelni?,27/07/2010,Peru,"Dept. Amazonas; Prov. Chachapoyas, 1.12 km N duraznopampa; 6.584ºS, 77.814ºW",2100M,mistletoe in stomach,Male,15.4,66.68,50.53,16.15,24.22015597,14.6,42.25,4.37,4.14,6.9,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,42053,rileyi,22/10/1958,Mexico,San Luis Potosí,4000ft,NA,Female,NA,64.81,48.41,16.4,25.30473692,13.59,37.63,4.34,4.3,7.39,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18371,rileyi,1/12/1951,Mexico,San Luis Potosí; Cerro Xilitlilla,NA,NA,Female,NA,64.21,50.6,13.61,21.19607538,12.95,30.93,3.62,4.16,7.36,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,61888,intermedia?,1/10/1959,Colombia,Popayan Cauca,1760M,NA,Male,NA,65.4,51.51,13.89,21.23853211,14.61,37.9,4.15,3.62,6.68,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,17553,rileyi,18/03/1951,Mexico,San Luis Potosí; 12 Mi. SE of Santiago,NA,Fat,Female,15.5,63.61,51.4,12.21,19.19509511,13.81,38.79,4.67,4.51,6.41,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,48108,,17/07/1961,Colombia,Popayan Cauca,2000M,NA,Female,NA,58.36,41.55,16.81,28.80397533,14.99,33.99,4.64,3.75,6.66,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18372,rileyi,4/12/1951,Mexico,San Luis Potosí; Cerro San Antonio,NA,NA,Female,NA,65.09,50.54,14.55,22.35366416,13.38,39.91,4.67,4.32,7.45,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,42052,rileyi,30/03/1955,Mexico,3 Mi. S.W. Huachimango Puebla,NA,NA,Male,NA,63.22,46.93,16.29,25.76716229,13.49,37.82,5.01,4.42,7.05,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,174850,elegantissima,13/04/2003,Panama,"Prov. Chiriqui, Cerro Colorado N 08º29.525' W081º46.302",1600m,trace fat green seeds saved,Male,15.5,59.78,48.92,10.86,18.16661091,12.97,38.99,4.62,4.03,7.34,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,98104,rileyi,3/11/1955,Mexico,Puebla; 3 MI SW Huachimango,7000ft,NA,Female,NA,64.3,52.82,11.48,17.85381026,14.56,39.79,4.79,4.28,7.48,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,61887,rileyi,30/11/1955,Mexico,Puebla; 3 MI SW Huachimango,7000ft,NA,Male,NA,64.73,48.82,15.91,24.57902055,13.79,38.43,4.94,4.35,7.41,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,189641,elegantissima,10/8/2010,Costa Rica,"Prov. Cortago; peraiso; Tousito; 9º46'36''N, 83º46'32''W",1300m,mistletoe in stomach,Male,17,65.52,41.21,24.31,37.1031746,16.16,40.42,3.07,3.91,8.13,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48102,rileyi,20/12/1959,Mexico,Jalisco: No. Slope of Volcán de Colima,8000ft,NA,Male,NA,69.45,52.23,17.22,32.96955773,13.35,39.68,4.34,3.9,7.38,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,138863,vincens,9/1/1990,Costa Rica,"Prov. Heredia; Finca la fortune, 4km Virgen del socorro",1350m,"light fat, gut with flat green seeds",Male,17.5,62.14,48.36,13.78,22.17573222,14.54,39.63,4.5,4.06,6.43,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,14461,elegantissima,1/6/1947,Mexico,NA,NA,NA,Male,NA,67.61,48.32,19.29,28.53128235,13.37,36.77,4.42,4.28,7.13,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,14463,elegantissima,9/9/1947,Mexico,NA,NA,NA,Female,NA,62.41,46.6,15.81,25.33247877,13.46,33.78,4.82,4.12,6.95,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,30264,vincens,21/10/1962,Honduras,Sta. Barbara,3000',NA,Male,16.2,66.3,47.4,18.9,28.50678733,15.06,36.16,4.28,3.82,6.92,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,14462,elegantissima,9/9/1947,Mexico,NA,NA,NA,Female,NA,65.69,52.88,12.81,19.50068504,13.54,31.26,4.62,4.4,6.28,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48103,elegantissima,6/6/1959,Mexico,"5 Mi E at Cuernevaca, Morelos",NA,NA,Male,NA,66.49,51.88,14.61,21.97322906,12.67,36.48,4.33,4.14,6.88,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,30266,vincens,21/01/1963,Honduras,Cortes: Finca Fe 1m NW Jaral,2300',NA,Female,14.1,63.32,44.56,18.76,29.62728996,15.51,34.18,4.57,4.08,7.24,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,24903,elegantissima,29/04/1961,Mexico,"Oaxaca, 6 Mi SW Guelatao",NA,NA,Male,14.2,62.5,47.33,15.17,24.272,12.45,35.65,4.41,4.38,6.88,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,140393,vincens,27/05/1941,Mexico,"Chiapas; Sierra Madre, pico de loro",2200m,NA,Male,NA,63.35,48.77,14.58,23.01499605,NA,40.31,4.33,3.79,7.03,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33470,elegantissima,8/4/1964,Mexico,12 air Mi. NNE Zanatepec,4900ft,Moderate fat,Male,15.1,62.03,46.29,15.74,25.37481864,13.14,34.37,3.96,3.64,7.15,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48105,,1954,NA,NA,NA,NA,Male,NA,61.08,44.94,16.14,26.42436149,14.74,38.23,4.77,3.98,6.13,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33469,elegantissima,4/4/1964,Mexico,12 air MI. NNE Zanatepec,4900ft,Little fat,Male,13.1,62.47,45.21,17.26,27.62926205,13.35,37.05,5.13,4.26,6.64,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48113,,11/1/1963,Mexico,"approx. 8km S from Solosuckiapa, chiapas; Rio Teapa",400ft,NA,Male,NA,60.21,44.8,15.41,25.59375519,13.74,37.61,NA,NA,NA,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33468,elegantissima,6/4/1964,Mexico,12 air Mi. NNE Zanatepec,4900ft,NA,Female,15,60.84,43.9,16.94,27.843524,14.63,31.14,4.4,4.05,7.69,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33472,elegantissima,4/4/1964,Mexico,12 air Mi.. NNE Zanatepec,4900ft,Little Fat,Male,15.3,62.31,48.93,13.38,21.47327877,13.91,37.6,4.24,NA,7.37,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48108,,21/02/1961,Mexico,"Rio Hondo, 8kms E. Pueblo Nuevo Chiapas",5000ft,NA,Male,NA,61.44,49.62,11.82,19.23828125,13.1,37.31,4.66,3.84,6.95,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48107,,21/02/1961,Mexico,"Rio Hondo, 8kms E. Pueblo Nuevo Chiapas",5000ft,NA,Female,NA,62.53,50.7,11.83,18.91891892,12.93,39.13,4.3,3.94,7.71,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33471,elegantissima,5/4/1964,Mexico,12 air Mi. NNE Zanatepec,4900ft,Little Fat,Male,14.8g,62.01,45.96,16.05,25.88292211,13.68,32.34,4.69,3.97,6.85,Preston Ballard
Caribbean,Lesser Antilles - Kalinago,Trinidad,1,19.84,Chlorophonia,flavifrons,Euphonia,145781,flavifrons,9/2/1962,St. Martinique,Rateau,NA,NA,Male,NA,62.5,50.85,11.65,18.64,16.11,38.04,4.81,NA,7.18,Mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,24902,musica,11/5/1961,Mexico,Oaxaca; 4 Mi. E Matatlan,NA,NA,Female,NA,63.77,45.16,18.61,29.18300141,13,39.67,4.15,4.23,7.57,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,musica,Euphonia,145770,musica,13/08/1963,Dominican Republic,San Rafael; 8km S Elías Piña,2900ft,NA,Male,NA,63.13,48.54,14.59,23.11104071,13.77,38.45,4.9,4.39,6.85,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,sclateri,Euphonia,150196,sclateri,18/11/1987,Puerto Rico,"Municipio Cabo Rojo; Barrio Boqueron; Peñones de Melones, ca 1km WNW intersection routes 301 and 303",NA,"Little Fat, intestines mistetoe seeds.",Male,12g,59.91,42.75,17.16,28.64296445,13.12,33.62,4.44,4.25,6.67,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,sclateri,Euphonia,150195,sclateri,8/12/1987,Puerto Rico,"Municipio Cabo Rojo; Barrio Boqueron Penones de Moelones, 1 km WNW intersection routes 301 and 303",30M,"Light fat, stomach mistletoe",Female,12g,57.62,46.65,10.97,19.03852829,15.44,35.52,4.64,4.08,7.17,mia
Caribbean,Greater Antilles,Trinidad,1,19.84,Euphonia,jamaica,Euphonia,145765,,11/7/1961,Jamaica,St. Thomas Par; 14.5 mi E Kingston,NA,NA,Male,NA,62.03,50.18,11.85,19.10365952,16.82,36.59,5.19,5.94,7.63,MIA
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,violacea,Euphonia,63076,,20/09/1967,Brazil,Sao Paulo; Santos rio Guaratuba,NA,NA,Female,NA,60.65,50.13,10.52,17.34542457,15.84,37.3,5.53,5.3,8.38,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,violacea,Euphonia,63074,,20/09/1967,Brazil,Sao Paulo; Santos rio Guaratuba,NA,NA,Male,NA,60.59,51.28,9.31,15.36557188,16.1,36.77,6.02,5.44,9.05,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Euphonia,jamaica,Euphonia,145758,,7-Oct,Jamaica,St. Thomas Par; 14.5 mi E Kingston,NA,NA,Female,NA,59.25,43.67,15.58,26.29535865,16.05,35.27,5.37,5.89,8.27,MIA
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,trinitatis,Euphonia,12555,,26/10/1959,Columbia,Bonda - Magdalena,NA,NA,Female,NA,47.08,37.35,9.73,20.66694987,12.63,31.26,4.15,3.9,6.11,mia
